model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Llama-3.2-1B-Instruct,1.6028968160324804,11.80688681133779,20.924285297827904,22.404992187055974,2,2,3,4.508572124916521,4.366632867284733,1.1461378282043428,1.0196149078955998,1.9401132867565587,1.039661832840527,1.4980003948501173,3.0126232217761997,1.3863267729930207,58.9393374588517,2.745877733539591,6.831199657897542,1.7510925957584123,5.1282985647028685,2.2384386416535516,1.714757248674216,2.3495775256836504,4.871415657587095,6.146110094681652,4.245139202696077,15.960113889398754,12.980460099277012,15.267932537990815,15.208339387603363,32.030164718083434,410.43093753004206,0.4757653067350511,0.36023752643590295,0.5348350767375202,1
Llama-3.2-3B-Instruct,1.5055266870207331,12.725007922990198,17.75456599278242,20.118267948426883,1,2,3,2.306406587186551,1.8879716064413936,1.0576032324051807,1.0321149419012308,2.3107572057897716,1.1086324342052347,2.357560299916125,3.2726330289615553,1.5787724127358391,54.310191033501305,6.413023264898879,4.485705881395055,1.155768118456706,5.15133657429389,1.0,1.0,2.432543771268997,5.142471132436307,5.026574100833328,4.004625361474248,15.597889607250492,15.544894812926408,16.01624376575461,14.366051460774498,21.478570512821452,282.2607523377964,0.4776813003370245,0.42096187049594463,0.4718612943144159,3
Llama-3.3-70B-Instruct,2.1199625576473253,15.30965028693467,26.453478690823424,16.435744361242847,2,2,3,1.1148908735501142,8.565800194914296,1.5693085426685964,1.0535469284297774,2.4817909663566224,1.5789824094045262,2.8290603364336264,3.7409022038315034,3.3203943592028864,56.92201437347166,7.062921426245885,5.5596143797633495,1.2776823366105003,5.250739591310033,5.635432073875158,4.07470715264351,5.738681666776714,5.361614789089521,4.990334493386665,5.514950917320824,14.463612520210315,12.389578614275411,14.986032893415368,14.014331619210052,23.456143247519257,290.0485617372903,0.467388652700397,0.4188086174614755,0.4780140749413917,4
Ministral-8B-Instruct-2410,1.7066603429021776,14.349487200142903,19.410468824652977,21.558253252303516,2,0,1,1.6567622119927796,17.348451773987183,1.2267671968952536,1.0098879938963399,1.7462003292053134,1.2211503585184666,1.8410350240926188,3.3878402474607503,1.3217728219048965,58.28870190208644,6.982016418256257,4.851583563901162,1.5538588728019007,5.145161947812014,1.0,1.1020693360838834,2.1799018181146477,6.149009443386564,6.819183366944859,5.355659185846947,14.81390557839018,16.0,15.961945339760643,15.009729916680346,24.278025653784564,355.3888274108382,0.5074043952878412,0.41015978875036063,0.44434520363792096,2
Mistral-7B-Instruct-v0.3,2.2472747526568977,15.183267362578738,20.761159232094144,21.674996537127473,2,1,3,2.6365307023822537,6.848109018575438,1.464394377657932,1.647848364533342,2.9436813419786265,1.5073522366904575,2.525535172694002,3.9340883350660847,2.9018838323259546,53.963957387859544,7.645835550774601,6.45283418678281,1.4347850117164724,7.786431093490925,2.3106869625168445,4.221015883088814,6.465421206831277,6.000000000000001,6.278458805822619,4.189110268573759,15.0,14.0,15.0,15.59,25.381836761016178,296.94269490356066,0.4759098491637214,0.4463187128907893,0.4968717673127723,3
Mistral-Small-24B-Instruct-2501,1.8007635934342616,13.386839644604587,23.788313084247633,19.256122678790536,1,0,1,0.12252144546946289,8.64223573918629,1.727017929873444,1.3254302536532727,3.955902875699338,1.4785660660014115,3.376864901836111,3.905590170045066,0.821496836164266,54.108744554899395,5.403204563865392,5.26058768800958,1.2512586456415768,6.561959382645735,1.1014599894872457,1.0,2.201746033264965,5.405901490020102,7.071423683216466,5.713940802889721,15.37173877071769,16.088463413904254,17.435794151169446,17.78562470295434,25.37264851340517,286.2950124551712,0.44722157954022945,0.3683696746433014,0.4888147175528987,3
OLMo-2-7B-Instruct,2.106988352694517,13.072452880086296,19.849128849705814,20.51646755054985,1,2,2,0.8705757902912555,14.57724732618239,1.743774711625313,1.2528495801214519,2.9249325054125626,1.5793865926833996,2.422671257328766,3.6818881449798346,2.305587339601421,51.83349538542917,5.705609395819699,5.245177028046722,1.5561271051130987,5.0,6.059665870080223,5.762907867176022,6.280193729602748,6.386116178131587,5.970613132281397,6.024891801599316,16.58769904451998,15.190271084751297,16.456246498678684,14.934413164898485,37.76000275294537,442.9808432685553,0.48345052699966795,0.43627128013466115,0.4796592308047441,2
Phi-3-medium-128k-instruct,2.003456200337501,11.513488337956217,20.27218676699293,17.274007199230716,2,0,0,3.3339599515696117,8.00018268125467,1.2010577235963271,1.2290743030494542,1.9043001570987919,1.0854689455570672,1.8008950179648644,3.538370547160519,3.892024410554695,56.75592639760176,4.132198080188477,5.595265157504565,1.6125528363159054,5.054058419526527,1.0,1.0,2.998545861919444,6.057577058809043,6.70381405131315,7.024678704559369,13.951114810849248,14.938471128590093,15.68240249307587,14.082342642203242,23.683987194166082,,0.48098720343305856,,0.466826617263463,2
Phi-3-mini-128k-instruct,1.6536087915452342,14.94190756393475,27.440361741839315,23.68452516294741,2,0,0,2.6132746061960512,15.045788930572753,1.5715199500261514,1.543868879334588,2.7603740583004788,1.2456600793811332,2.838319995505272,3.0616426715341554,1.6834309320339726,44.84056901955185,8.187833941888622,4.777120202201364,1.3459628909230104,6.926142958582921,1.0993333201784672,1.0,2.993633792410907,5.845893904766611,6.5904947961867615,6.131583422142881,13.660521943821287,16.801172240148748,16.552266752931768,18.41297448709328,26.494976771264998,,0.4799660823822224,,0.44838249705545946,1
Phi-3.5-mini-instruct,1.5532296904009053,16.16571119306178,25.91447905026833,25.08369806789527,2,0,0,4.368010904146798,22.52919102265215,1.822563423133824,1.419477697645843,2.701295743709154,1.8002303735747085,2.679580740420179,3.260397377964609,1.7168857764096024,44.7003939356731,9.48930425479601,4.892217431407523,1.395039927725534,6.876371686738113,1.3194437545410918,2.63511553480304,4.7672733575748,5.809412453397667,6.305202876509365,6.292360392909326,14.175059366707,15.096683895743016,17.929329990401587,18.46527358517955,27.423735865163483,,0.49358817109906694,,0.44715524467420403,4
Qwen2.5-1.5B-Instruct,1.5127960584895388,11.527417446407858,16.102988135243432,27.226412587535386,2,0,1,2.8491219286654483,7.084112240223383,1.0781548887132684,1.0714630142772157,2.070507554384029,1.080550701837743,1.823236640956849,3.516415548107309,3.3485169779483073,52.59014064478283,5.147652242888257,4.210298811082303,1.6572879822817819,6.966308633033313,1.0999640852740291,1.0,3.43519486134121,6.1139882402277435,6.545264640020268,6.234426357924997,15.781330095646224,14.664474655769913,16.589641499721633,16.072854739443837,35.42424109143357,287.7164881461317,0.4775021157140183,0.4024968255139553,0.46559662455078976,1
