model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Llama-3.2-1B-Instruct,1.912364648953981,15.26285794554754,22.479379942098312,24.296206316298832,1,1,2,1.4724864969416465,11.327469981112333,1.6617923896234041,1.1321983469107546,2.4869776025645214,1.352355556389058,2.3556332441302685,3.371393872730179,2.190756694835819,53.425872711394575,4.676482305085723,45.40456730876757,12.47390020370941,6.025180059558634,3.423319392624073,3.471296591951498,4.837441751794054,6.0240487900174315,6.775130958123946,5.6885983292282605,14.247534001251855,15.163383883648912,16.84758158434187,16.6120124147999,37.226134525158386,455.6411002437231,0.48265318822072356,0.3996000245307412,0.5110847510763947,4
Llama-3.2-3B-Instruct,2.006378507538295,14.837618359731099,21.085126733038187,23.57382700700114,1,1,3,1.535554592598711,9.542626240545342,1.6056373121695757,1.145386256765438,2.5172823358258483,1.4136934792715972,2.4954077415782856,3.386951362227619,2.371128479106413,51.536330654232906,5.552777918492996,41.462109988771005,12.1380929189649,5.989829398501414,2.7361095653585235,2.675634965716757,4.640087045880959,5.848896151875466,6.49845125940577,5.490486702368728,14.440517223234451,15.297693457458093,16.863935199705544,16.490027982447195,35.807904735216816,420.7828683627974,0.4815011605039571,0.4017668979233624,0.46626059664840436,4
Llama-3.3-70B-Instruct,1.9760920573956413,15.759449233323782,23.28858894300783,22.89987664262504,2,2,3,1.2035853410802007,10.403256578995894,1.8145808689611806,1.2335047429436612,2.549929481157904,1.6797686851653217,2.6696307447071446,3.4955226873385925,2.585501377741843,50.08984489855904,6.553472931212266,43.227499646325874,12.000405625112672,6.002103478574876,4.404823496541897,3.9349281799936,5.31796799892221,5.892595103200505,6.296417164242751,5.810384743986235,14.16431911104266,14.884450239766503,16.77671145488288,16.437652207895514,34.25995560058267,443.9395688194271,0.4731799142429074,0.3954123398379522,0.46653082565446224,4
Ministral-8B-Instruct-2410,1.904451910788323,16.2328604520495,23.189585726815572,25.09466259682693,1,1,1,1.4170290992154464,15.172518085185102,1.526969652507359,1.1128451837505988,2.4175130679760444,1.3857533020204158,2.356356809790953,3.3989941968401864,1.7067939945523665,50.23726582971321,5.757898558044436,42.714960256127945,12.298762490343705,6.053125810984178,3.109685378296891,3.165429159623286,4.887142641442936,6.120818251228821,6.7513183602604245,5.868607359860764,14.27296744708561,15.11044340666154,16.739979025435527,16.47250731100387,36.52357441692935,433.9620328827583,0.48769526399760776,0.4084246483933285,0.4626832249720798,3
Mistral-7B-Instruct-v0.3,2.1064871054361034,15.853011825562305,23.37927303086491,23.175569785421388,2,1,2,1.4393927659751005,8.837996527638904,1.6654101467158964,1.2555986237274483,2.7098424395275034,1.404092952646355,2.504008027525959,3.468646640463615,1.8992452670368987,54.52872515129191,6.1154010061785025,49.645644113957225,12.312329244156974,7.780473200975835,2.4859257511538537,3.647408203144816,5.925580221399297,5.9658796367208105,6.493803056740285,5.513959747576142,14.441437243450212,14.92025680230448,16.47255676943165,16.527484931250385,36.921951775237495,443.80716732345104,0.478347810681527,0.41265341800865796,0.47033510133796014,4
Mistral-Small-24B-Instruct-2501,1.9949665217144859,16.129669912810222,23.2654850107734,24.467950678110846,1,1,1,1.334857568856434,13.915437107975013,1.8486017502050662,1.270355526792412,2.721756566891998,1.600889068308803,2.6575554267386776,3.497797155220156,1.6419335424970856,49.63357105803105,5.856594406107813,43.449344327218,12.1888890428508,6.074981750317375,2.983167010704453,2.955999446266955,4.688884612579734,5.989961907004946,6.814473513681514,5.8634674552735,14.262453882195492,15.300461360292887,16.91694036443275,16.657423015724948,35.290168599193365,427.5371894991685,0.47042128881970063,0.3941702181398163,0.4663640615218455,4
OLMo-2-7B-Instruct,2.1196852460283635,15.80397125319383,22.904206147737096,24.46367337199457,1,2,2,1.3264093139965893,13.69405718257703,1.890626830500146,1.2725441983951225,2.555586119130387,1.626935999671423,2.5666391009210177,3.4566025402406115,2.4854832865491896,48.35015352042965,6.682285208662925,41.30676605811561,12.410818835856219,6.111975468314324,5.073666685785504,4.858205753664356,5.619405797374422,6.191634130441662,6.428915179067201,5.949066282763622,14.42685857898473,15.078799591437217,16.87627781104224,16.51478661471569,38.19164168047599,463.07924704948437,0.4817937422060663,0.4040121691317391,0.4646336743250754,3
Phi-3-medium-128k-instruct,2.04934248059014,16.248204413803943,23.050986636598022,24.830749036011287,2,0,1,1.4862452474094534,13.380697998545124,1.752788381279545,1.2674556956127043,2.5032311371669995,1.5766785481648884,2.5122959213095495,3.4690030867526023,2.852161202608543,49.48260841003207,5.382195232923883,43.92909424124094,12.438852493077707,6.058908668657013,2.708852135853623,2.847433884382458,4.664897627083276,6.075341457623266,6.792366698217053,6.0155657065227865,14.249620323959377,15.120871339434306,16.90308391256869,16.550447055972537,35.95004124108358,,0.4793761596219648,,0.46594671083858247,3
Phi-3-mini-128k-instruct,2.0492027181838672,16.563865044232774,24.14366751395808,25.268949655190397,2,0,1,1.44602002373942,15.159365248089935,1.8711701534488088,1.2770448053898928,2.6409379995941222,1.5080300344950834,2.5922395327524304,3.411349928901615,2.5170830355905807,47.38144843973156,6.600165185899755,42.139844343823825,12.158354885023053,6.1855676441682155,2.87135731822942,2.940344772822601,4.6676279427326355,6.044249952654018,6.640861476442241,5.9266605199944475,14.175058174860943,15.213532631523446,16.816522445011525,16.62647234366656,37.421944294774214,,0.4814897074518396,,0.4612634609799758,4
Phi-3.5-mini-instruct,2.0273921122741316,16.54127527123455,24.459945754960632,24.93197943570386,2,0,1,1.5135736245990126,15.915686570541467,1.8632674622518541,1.2655765456811272,2.6512063069423975,1.5385693815496886,2.5995075480293797,3.393058133791877,2.1683801571190964,46.72553196884809,6.639782040367862,42.098072412580755,12.101436099134558,6.230098738778644,3.179684220123173,3.4360671732239543,4.966596119650816,6.0989000391262165,6.584340548311165,6.028710414515544,14.170451003440792,15.129612581136193,16.971637309600787,16.890321306416947,36.955066709173984,,0.47803717490642067,,0.46205938260158314,4
Qwen2.5-1.5B-Instruct,1.6976941028492092,15.712144175499166,22.146449394025897,25.16096599239117,2,0,1,1.6874146747304302,13.119258384551747,1.4318638223598872,1.0878874269965715,2.4414397085646495,1.2139050624489278,2.3265454860397554,3.4180601041610665,2.4104096269101927,49.4583329104378,5.346154364735745,39.98674409605983,12.601916057087857,6.167256923663609,3.4188476084478134,3.222554475432763,4.857161928644487,6.1219453434701325,6.711104518591923,5.8615184288028015,14.218280183724923,15.433377640346627,16.857553815259276,16.670226472892292,38.96292459969387,435.17571127103906,0.4794273877287998,0.39883990730697694,0.4682720558381939,3
