model,AUDIT,BISa,BISm,BISn,CAREa,CAREs,CAREw,DAST,DM,Deth,Dgam,Dhea,Dinv,Drec,Dsoc,FTND,GABS,PG,PRI_certainty,PRI_decision,SOEP,SOEPdri,SOEPfin,SOEPhea,SOEPocc,SOEPrec,SOEPsoc,SSbor,SSdis,SSexp,SStas,BART,CCT,DFD,DFE,LOT,MPL
Llama-3.2-1B-Instruct,2.9834630554723094,14.464630642694964,20.259954624163292,20.65536318247694,1,1,2,23.887650780189738,32.03823599671983,2.2474519927088066,2.231255920393983,2.172563517040059,2.2600037281239627,2.086547934223621,2.518345876209955,9.243140349040157,22.438207181169297,33.39127421531781,23.698649398457217,9.056504727611369,6.602432973784225,4.509175044827735,5.4452335251975,5.2963928216177765,5.942191151874535,5.844919808963407,5.718622849165645,11.578623809009903,11.451739569885984,11.709732848996254,11.563139333154428,37.226134525158386,455.6411002437231,0.48265318822072356,0.3996000245307412,0.5110847510763947,4
Llama-3.2-3B-Instruct,3.2582062319132006,18.74118006043564,26.910998616743363,27.26046465797381,1,1,3,21.879131009548956,50.322597124568695,3.6570600730882914,3.5857070118996885,3.25041980558429,3.556226910771092,3.4261195250171705,3.242834140452418,10.535551237968296,35.899907591759266,72.47799970854703,36.683302184458306,10.100032400095847,6.402875683012,7.277088540624307,7.35920269882826,7.025780546452077,6.808840445330372,6.784021239158709,7.2303361013974925,12.443621759974564,11.843676489251258,12.706070783501955,12.53803832303418,35.807904735216816,420.7828683627974,0.4815011605039571,0.4017668979233624,0.46626059664840436,4
Llama-3.3-70B-Instruct,3.5287673542831253,23.662669863963426,32.416209376264604,31.618628410073377,2,2,3,33.03781890912787,59.051853891478984,4.2021576956394675,4.441889335697287,4.139820566112167,3.843726296281998,4.0184999051905965,3.7470632244475937,13.482388600825512,46.853133895670936,94.3041897431984,40.53790201867499,11.993537689499457,6.776193607947684,7.188333583428552,7.091509480908094,7.1471485146800235,6.605252404038571,6.5303032184313174,7.321237606857483,14.696241964345191,14.315339471206922,14.45153184271768,14.714816940203326,34.25995560058267,443.9395688194271,0.4731799142429074,0.3954123398379522,0.46653082565446224,4
Ministral-8B-Instruct-2410,3.4331010704663556,18.462128253399385,26.538805381254406,26.189897411098784,1,1,1,28.862895652601747,42.923364594255716,3.2424914432230048,3.448567368258728,3.319773919328079,3.3782997208715835,3.390959349645139,3.374215291308587,11.27776189535911,35.10926048237699,67.2492809851593,31.860865623995426,12.382516120499186,6.380294037166336,3.7859462439391502,4.294423932932191,5.391129349836192,5.321093202984617,5.277061844429807,6.071875792654722,13.807628743305825,13.804401448991667,13.93944268126257,13.465762469318575,36.52357441692935,433.9620328827583,0.48769526399760776,0.4084246483933285,0.4626832249720798,3
Mistral-7B-Instruct-v0.3,3.223984198087575,12.864307307478677,19.004428557962207,16.542239407090506,2,1,2,23.38853804600309,25.483375163963313,1.2745377788189458,1.302685543867939,2.571301917719357,1.2988454360147066,1.7079198465762426,1.7515520114730756,10.265969331966485,21.45896337286452,39.24481108021032,16.78182356480571,9.650238387662224,2.015374733822092,2.4073474883515664,3.4842024227633988,6.610177407816149,5.829257367772082,4.736620254631573,6.7994911172964185,12.815970973034016,12.949651193143925,12.75956171136036,13.09110815915717,36.921951775237495,443.80716732345104,0.478347810681527,0.41265341800865796,0.47033510133796014,4
Mistral-Small-24B-Instruct-2501,3.4127130592829853,20.43955195176525,28.54717260712284,28.032504834387666,1,1,1,25.494541037794733,45.69852817456683,2.933302192037555,2.9285273561575096,3.1452494401188713,3.0818990753712403,3.140913917815685,3.0102321443494495,11.265398150279248,38.428316804112335,60.569078811289785,31.48097360964281,11.444692434844061,6.314782006055307,3.7520651372157374,4.283438808513276,5.3542728548182685,5.5499353793137605,5.599674944487015,6.227779978860298,14.003381361920223,14.169213502847303,13.818169362468694,13.833843457910401,35.290168599193365,427.5371894991685,0.47042128881970063,0.3941702181398163,0.4663640615218455,4
OLMo-2-7B-Instruct,3.2539833503735864,19.615910802440432,28.265988635047663,27.21033617265869,1,2,2,24.03881783773284,44.867647936962065,3.0832038047780275,2.6993258743208797,3.1919955348248306,3.1161953394300377,3.457916708662896,3.4129441640160936,9.90648303074777,35.75691157782532,49.162775483990835,32.285324021282285,11.032865985861516,5.536145029561768,5.426121294448088,5.665670427938402,5.621879219459458,5.554916164576257,5.550265019276481,5.967597689681177,11.512850153005271,11.539460845412089,11.477171738290041,11.330715480980539,38.19164168047599,463.07924704948437,0.4817937422060663,0.4040121691317391,0.4646336743250754,3
Phi-3-medium-128k-instruct,3.2239579947773804,17.23483021472924,24.778835135264178,24.49929065437063,2,0,1,25.163707106154266,35.551381540906824,2.3596861798866886,2.359049722141275,2.593821800919268,2.4716829193315433,2.6773310971531297,2.7939212225694967,10.048480409925425,30.25784137294827,53.16125035892299,25.576288337340678,10.207902929808307,6.475013154225046,3.0355964666538124,3.4888031038647225,4.377762495318979,4.870564428277914,4.7745250977397955,6.0755685029342805,12.459782544842508,12.32436013690287,12.489104355913707,12.231435104145321,35.95004124108358,,0.4793761596219648,,0.46594671083858247,3
Phi-3-mini-128k-instruct,3.3078281196662513,16.293103228739536,23.302386178661163,23.5839947804439,2,0,1,29.420665482402406,38.728135444711796,2.5475467186949725,2.4219935196475846,2.6440544294759976,2.521190290480234,2.711686364511352,2.80013464839043,11.881907756884411,32.319356382150204,61.48595382950689,27.554670517441373,12.890520405396336,5.441507714096906,3.126779667544449,3.07519314079986,4.282162114829018,4.756443226326938,4.594911819294221,4.96200580158209,14.17236471194936,14.03251062931707,14.106050144137562,14.06738707025932,37.421944294774214,,0.4814897074518396,,0.4612634609799758,4
Phi-3.5-mini-instruct,3.297979167637558,16.85741469460828,24.118660221147202,24.290788874762956,2,0,1,28.467594593302294,43.89439100285506,2.693033751027347,2.9542531850620914,2.7306795687287373,2.7242940161265667,3.320716549743026,2.9746709520734615,12.07724070652491,33.81807531434819,58.67823370980378,29.91489032883645,12.63641862463337,4.968405749522521,2.9365365850033474,3.2262558256029754,4.298769263547644,4.708884471854664,4.544225474531827,4.926202424340277,13.683523579481415,13.564219436425805,13.716307667321045,13.354262465516078,36.955066709173984,,0.47803717490642067,,0.46205938260158314,4
Qwen2.5-1.5B-Instruct,3.668207583501837,21.588028958010263,30.475192001152948,30.87380629265499,2,0,1,25.89725113817389,52.42733439855416,4.725727731411957,4.806797752441289,4.645051315124002,4.698734530025742,4.620926305466763,4.378531640901518,10.705575121523466,38.43152044824519,92.87386637296052,31.620803890220248,10.178952189543836,5.7124968071605355,4.158058867590233,3.966802399488016,4.524037716648782,5.139886458038114,5.334977140639004,5.6536931888153426,11.785872407627936,11.81331902278728,11.432746100629142,11.418201051949625,38.96292459969387,435.17571127103906,0.4794273877287998,0.39883990730697694,0.4682720558381939,3
Qwen2.5-14B-Instruct,2.9109295587481108,13.286206184667916,19.359703784124473,19.424177521286484,2,0,0,22.976794702616232,27.920672004723887,1.4785288222125752,1.29290267278679,1.7130063809849905,1.726128479609562,1.69750366686729,1.7712320103516266,9.400316207023526,23.85494216047357,31.094282764759157,25.85956409485677,10.530399407245715,5.1580591771672255,1.8567722790981689,1.974227289838224,3.94294149111928,3.969678332598951,3.801146943777401,4.82951078245603,12.661429380648904,12.866984167255843,12.558671995903634,12.962648711686425,33.02644567110756,443.07655789720803,0.49000297012525984,0.400585187129988,0.46169858281982684,5
Qwen2.5-32B-Instruct,3.176318618383507,12.921436884760745,18.694770442564305,18.625855766827282,2,0,0,23.89253862335056,30.18017333267346,1.910478676178697,1.8744351470164737,2.127203967349192,2.683472138120596,2.1170756788126095,2.4115337784412954,10.458818810044862,24.225854201868234,37.109780225584984,30.232876351753646,8.564248430019129,6.195056620103974,2.302387875861743,2.872246065212023,4.449285116188856,5.180607370695603,5.180614156967511,5.165698193433565,11.951894918604248,11.506548430735434,11.78827001681351,11.511373480864986,35.32460559493839,456.58627853988935,0.4746939617093949,0.40440158716478786,0.4713856017518654,5
Qwen2.5-3B-Instruct,3.182225823281238,16.642278545829615,23.11953177742557,24.41828682345681,2,0,1,27.585296875599813,34.88751236996413,2.5572204873013966,2.5739578521624864,2.684900165882917,2.638274826307023,2.6829992073549915,2.960207267899494,11.805108560485781,29.994999150222046,55.04663902240098,29.862613742406467,10.325570237457708,6.008713680309008,3.084825553255248,3.291198092754267,4.263900750975498,4.816189459753523,4.783823069605369,5.31708531070309,14.114775424015026,14.558158140784727,13.951009841062833,13.829039658691237,37.54832090618263,414.0329784109086,0.4767096168958145,0.3996698730590923,0.4618923071988173,4
